id_fournisseur,nom,libelles_source,role,canal_de_commande,regroupement_suggere,regroupement_statut,contact_nom,telephone,email,site_internet,adresse,code_postal,ville,region,departement,identifiants_legaux,conditions_paiement,livraison,retrait,minimum_commande,personnalisation,delais,autres_infos,conditions_relevees_dans_le_tarif,source,nombre_de_produits
FOUR-0011,PÈRE ROUPSARD,PÈRE ROUPSARD TRAITEUR 90 Gr | PÈRE ROUPSARD TRAITEUR 180 Gr,PRODUCTEUR RÉFÉRENCÉ CHEZ LE DISTRIBUTEUR,Via NORMAND DIRECT TERROIR,,,SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,https://www.lepereroupsard.com/,10 Rte du Moulin,50763,Le Vicel,Normandie,Manche (50),Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,NA,1 semaine,,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),38
FOUR-0012,PÈRE ROUPSARD TRAITEUR,PÈRE ROUPSARD TRAITEUR,PRODUCTEUR RÉFÉRENCÉ CHEZ LE DISTRIBUTEUR,Via NORMAND DIRECT TERROIR,PÈRE ROUPSARD,"À CONFIRMER (regroupement proposé, non appliqué)",SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,https://www.lepereroupsard.com/,11 Rte du Moulin,50764,Le Vicel,Normandie,Manche (50),Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,NA,1 semaine,,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),10
FOUR-0013,PÈRE ROUPSARD LES MIJOTES,PÈRE ROUPSARD LES MIJOTES,PRODUCTEUR RÉFÉRENCÉ CHEZ LE DISTRIBUTEUR,Via NORMAND DIRECT TERROIR,PÈRE ROUPSARD,"À CONFIRMER (regroupement proposé, non appliqué)",SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,https://www.lepereroupsard.com/,12 Rte du Moulin,50765,Le Vicel,Normandie,Manche (50),Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,NA,1 semaine,,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),10
FOUR-0014,LES DINATOIRES DU PÈRE ROUPSARD,LES DINATOIRES DU PÈRE ROUPSARD,PRODUCTEUR RÉFÉRENCÉ CHEZ LE DISTRIBUTEUR,Via NORMAND DIRECT TERROIR,PÈRE ROUPSARD,"À CONFIRMER (regroupement proposé, non appliqué)",SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,https://www.lepereroupsard.com/,13 Rte du Moulin,50766,Le Vicel,Normandie,Manche (50),Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,NA,1 semaine,,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),25
FOUR-0015,MAISON SAINT LO,MAISON SAINT LO,PRODUCTEUR RÉFÉRENCÉ CHEZ LE DISTRIBUTEUR,Via NORMAND DIRECT TERROIR,,,SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,https://www.maisonsaintlo.fr/,La Champgne,50490,Saint Sauveur Lendelin,Normandie,Manche (50),Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,NA,1 semaine,,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),65
FOUR-0016,LA BRULERIE,LA BRULERIE,PRODUCTEUR RÉFÉRENCÉ CHEZ LE DISTRIBUTEUR,Via NORMAND DIRECT TERROIR,,,SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,https://www.brulerie-flers.com/,10 rue du 6 juin,61100,Flers,Normandie,Orne (61),Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,NA,1 semaine,,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),2
FOUR-0017,TATASSE,TATASSE Sachet Kraft 100g,PRODUCTEUR RÉFÉRENCÉ CHEZ LE DISTRIBUTEUR,Via NORMAND DIRECT TERROIR,,,SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,https://tatasse.fr/,82 avenue de Thies,14000,Caen,Normandie,Calvados (14),Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,NA,1 semaine,,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),45
FOUR-0018,BALADES NORMANDES,BALADES NORMANDES | BALADES NORMANDES Boîte bois ronde | BALADES NORMANDES Boîte 4 faces | BALADES NORMANDES Boîte fer | BALADES NORMANDES D-DAY Boîte bois | BALADES NORMANDES D-DAY Boîte métal,PRODUCTEUR RÉFÉRENCÉ CHEZ LE DISTRIBUTEUR,Via NORMAND DIRECT TERROIR,BALADES NORMANDES,"À CONFIRMER (regroupement proposé, non appliqué)",SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,NA,10 RUE DE LA MAIRIE,14610,Cairon,Normandie,Calvados (14),Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,NA,1 semaine,,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),27
FOUR-0019,POM’ POM’,POM’ POM’ | POM' POM',PRODUCTEUR RÉFÉRENCÉ CHEZ LE DISTRIBUTEUR,Via NORMAND DIRECT TERROIR,POM' POM',"À CONFIRMER (regroupement proposé, non appliqué)",SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,https://www.pompom-calvados.fr/,Allée des Paitis Blancs,14320,Saint André sur Orne,Normandie,Calvados (14),Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,NA,1 semaine,,Livraisons par 6 mais panachable par 2x3 pour les bouteilles de 70CL,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),16
FOUR-0020,MAISON HEROUT,MAISON HEROUT,PRODUCTEUR RÉFÉRENCÉ CHEZ LE DISTRIBUTEUR,Via NORMAND DIRECT TERROIR,,,SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,https://www.maisonherout.com/,"Les Vergers de la Chapelle, 36 Route de Cantepie",50500,Auvers,Normandie,Manche (50),Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,NA,1 semaine,,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),38
FOUR-0021,GAEC DE CLAIDS,GAEC DE CLAIDS,PRODUCTEUR RÉFÉRENCÉ CHEZ LE DISTRIBUTEUR,Via NORMAND DIRECT TERROIR,,,SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,NA,38 Chemin Perrey,50190,Saint Patrice de Claids,Normandie,Manche (50),Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,NA,1 semaine,,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),20
FOUR-0022,FERME DU LOTEROT,FERME DU LOTEROT,PRODUCTEUR RÉFÉRENCÉ CHEZ LE DISTRIBUTEUR,Via NORMAND DIRECT TERROIR,,,SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,https://www.loterot.com/,387 Rte de la Liberté,14240,Cahagnes,Normandie,Calvados (14),Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,NA,1 semaine,,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),3
FOUR-0023,BRASSERIE LA LIE,BRASSERIE LA LIE,PRODUCTEUR RÉFÉRENCÉ CHEZ LE DISTRIBUTEUR,Via NORMAND DIRECT TERROIR,,,SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,https://www.biere-lalie.com/,"400, rue de l'Orne",14570,Saint Rémy,Normandie,Calvados (14),Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,NA,1 semaine,,Attention !! / BRASSERIE LALIE / EXPEDITION / PAR / TRANSPORTEUR / UNIQUEMENT / A PARTIR / DE 8 CARTONS / OU / 6 CARTONS / ET / 5 DEMI-METRES,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),25
FOUR-0024,LES ARPENTS DU SOLEIL,LES ARPENTS DU SOLEIL,PRODUCTEUR RÉFÉRENCÉ CHEZ LE DISTRIBUTEUR,Via NORMAND DIRECT TERROIR,,,SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,https://www.arpents-du-soleil.com/,"Chemin des Vignes, Route de Grisy,",14170,Grisy,Normandie,Calvados (14),Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,NA,1 semaine,,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),6
FOUR-0025,DISTILLERIE C'EST NOUS,DISTILLERIE C'EST NOUS,PRODUCTEUR RÉFÉRENCÉ CHEZ LE DISTRIBUTEUR,Via NORMAND DIRECT TERROIR,,,SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,https://www.cestnous-gin.com/,6 Rue Francis de Pressencé,14460,Colombelles,Normandie,Calvados (14),Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,NA,1 semaine,,Livraisons par 6 mais panachable par 2x3 pour les bouteilles de 70CL / panachage a volonté pour les 20cl,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),15
FOUR-0026,LISANE,LISANE,PRODUCTEUR RÉFÉRENCÉ CHEZ LE DISTRIBUTEUR,Via NORMAND DIRECT TERROIR,,,SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,https://lisane.fr/,2 rue de l'Huderie,50570,Remilly Les Marais,Normandie,Manche (50),Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,NA,1 semaine,,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),23
FOUR-0027,Rucher du bocage Virois,Rucher du bocage Virois | Rucher du bocage Virois Barquette en bois,PRODUCTEUR RÉFÉRENCÉ CHEZ LE DISTRIBUTEUR,Via NORMAND DIRECT TERROIR,RUCHER DU BOCAGE VIROIS,"À CONFIRMER (regroupement proposé, non appliqué)",SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,https://www.facebook.com/mielproducteurlocal?rdid=J5x6Fk4cboRy8NYd&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2F17zwHgW9nD%2F#,216 route du frêne,14500,Vire,Normandie,Calvados (14),Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,NA,1 semaine,,Colissage par 12 parfums au choix,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),29
FOUR-0028,DOMAINE DES HAUTS VENTS,DOMAINE DES HAUTS VENTS,PRODUCTEUR RÉFÉRENCÉ CHEZ LE DISTRIBUTEUR,Via NORMAND DIRECT TERROIR,,,SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,http://hautsvents.com/,192 Les Hauts Vents,27670,Saint-Ouen-du-Tilleul,Normandie,Eure (27),Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,NA,1 semaine,,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),2
FOUR-0029,BARBAQUES,BARBAQUES charcutier salaisonnier,PRODUCTEUR RÉFÉRENCÉ CHEZ LE DISTRIBUTEUR,Via NORMAND DIRECT TERROIR,,,SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,https://www.instagram.com/barbaques/,"Place Saint-Sauveur Boulevard Leroy, 12 Ham. de Caillouet",14680,Bretteville-sur-Laize,Normandie,Calvados (14),Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,NA,1 semaine,,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),8
FOUR-0030,Huète'Ca,Huète'Ca,PRODUCTEUR RÉFÉRENCÉ CHEZ LE DISTRIBUTEUR,Via NORMAND DIRECT TERROIR,,,SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,https://www.instagram.com/huete_.ca,610 rue de l'Épinay,76680,Saint Saens,Normandie,Seine Maritime (76),Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,NA,1 semaine,,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),4
FOUR-0031,SKINFAXI,SKINFAXI,PRODUCTEUR RÉFÉRENCÉ CHEZ LE DISTRIBUTEUR,Via NORMAND DIRECT TERROIR,,,SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,https://skinfaxi.fr/,"Bouillotte Augeronne
1063 route de l'église Saint Pierre",14100,St Pierre Des Ifs,Normandie,Calvados (14),Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,NA,1 semaine,,MINIMUM DE COMMANDE DE 6 BOUTEILLES,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),10
FOUR-0032,CROCAEN'T,CROCAEN'T billes chocolatées,PRODUCTEUR RÉFÉRENCÉ CHEZ LE DISTRIBUTEUR,Via NORMAND DIRECT TERROIR,,,SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,https://l.instagram.com/?u=https%3A%2F%2Fcrocaen-t.sumupstore.com%2F%3Futm_source%3Dig%26utm_medium%3Dsocial%26utm_content%3Dlink_in_bio%26fbclid%3DPAcGRvZgJleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA85MzY2MTk3NDMzOTI0NTkAAac2Hi5iQDdEajmV-IFNnrDyog1c37b2i2GPGnP9iIKdAYvlZGplHqDxpJ3xpA_aem_XX28D9ff1eCJ81krdF_30Q&e=AUAOg_UCue2bIwY8ayjy2hYMf9F-YXV6hdahPzqovs4-JyRu1hNuTvG1tPOXgiTtq0vjxspCeGWvWFDaO1IfbE8bnQK20SDBhSRHECLGqPZ5jCBd3qprBIR3xDyquFwD4gm7AO0,13 avenue des capelles,14790,Fontaine Etoupefour,Normandie,Calvados (14),Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,NA,1 semaine,,PANACHABLE A VOLONTE ET PARFUMS AU CHOIX A PRECISER LORS DE LA COMMANDE,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),8
