type,cle_de_rapprochement,producteur,ids_produits,libelles,prix_ht,sources,decision
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,boite bois carree beurre sale,CARAMELS D'ISIGNY,PROD-0506 / PROD-0507,BOÎTE BOIS CARRÉE BEURRE SALÉ || BOÎTE BOIS CARRÉE BEURRE SALÉ,2.85 / 4.25,Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 6 – LES BOÎTES BOIS (page 4)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 7 – LES BOÎTES BOIS (page 4)),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,boite bois carree fondant beurre sale,CARAMELS D'ISIGNY,PROD-0510 / PROD-0511,BOÎTE BOIS CARRÉE FONDANT BEURRE SALÉ || BOÎTE BOIS CARRÉE FONDANT BEURRE SALÉ,2.85 / 4.25,Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 11 – LES BOÎTES BOIS (page 4)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 12 – LES BOÎTES BOIS (page 4)),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,boite bois ronde assortiment fondants,CARAMELS D'ISIGNY,PROD-0516 / PROD-0517,BOÎTE BOIS RONDE ASSORTIMENT FONDANTS || BOÎTE BOIS RONDE ASSORTIMENT FONDANTS,2.85 / 4.25,Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 19 – LES BOÎTES BOIS (page 4)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 20 – LES BOÎTES BOIS (page 4)),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,boite bois ronde assortiment normandie,CARAMELS D'ISIGNY,PROD-0520 / PROD-0521,BOÎTE BOIS RONDE ASSORTIMENT NORMANDIE || BOÎTE BOIS RONDE ASSORTIMENT NORMANDIE,2.85 / 4.25,Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 24 – LES BOÎTES BOIS (page 4)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 25 – LES BOÎTES BOIS (page 4)),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,boite bois ronde assortiment tradition,CARAMELS D'ISIGNY,PROD-0512 / PROD-0513,BOÎTE BOIS RONDE ASSORTIMENT TRADITION || BOÎTE BOIS RONDE ASSORTIMENT TRADITION,2.85 / 4.25,Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 14 – LES BOÎTES BOIS (page 4)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 15 – LES BOÎTES BOIS (page 4)),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,boite bois ronde beurre sale,CARAMELS D'ISIGNY,PROD-0504 / PROD-0505,BOÎTE BOIS RONDE BEURRE SALÉ || BOÎTE BOIS RONDE BEURRE SALÉ,2.85 / 4.25,Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 4 – LES BOÎTES BOIS (page 4)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 5 – LES BOÎTES BOIS (page 4)),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,boite bois ronde fondant beurre sale,CARAMELS D'ISIGNY,PROD-0508 / PROD-0509,BOÎTE BOIS RONDE FONDANT BEURRE SALÉ || BOÎTE BOIS RONDE FONDANT BEURRE SALÉ,2.85 / 4.25,Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 9 – LES BOÎTES BOIS (page 4)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 10 – LES BOÎTES BOIS (page 4)),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,boite cafe,CARAMELS D'ISIGNY,PROD-0611 / PROD-0619,39.BOÎTE 2KG CAFÉ || 47.BOÎTE 2KG CAFÉ,32.2 / 31.6,Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 153 – LES CARAMELS EN VRAC (page 17)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 162 – LES CARAMELS EN VRAC (page 17)),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,boite chocolat,CARAMELS D'ISIGNY,PROD-0610 / PROD-0620,38.BOÎTE 2KG CHOCOLAT || 48.BOÎTE 2KG CHOCOLAT,32.2 / 31.6,Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 152 – LES CARAMELS EN VRAC (page 17)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 163 – LES CARAMELS EN VRAC (page 17)),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,boite cigare,CARAMELS D'ISIGNY,PROD-0545 / PROD-0551,BOÎTE CIGARE || BOÎTE CIGARE,5.5 / 5.5,Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 61 – LE THÈME NORMANDIE (page 9)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 71 – LA GAMME D-DAY (page 9)),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,boite noisette,CARAMELS D'ISIGNY,PROD-0573 / PROD-0612 / PROD-0621,2.BOÎTE 2KG NOISETTE || 40.BOÎTE 2KG NOISETTE || 49.BOÎTE 2KG NOISETTE,32.2 / 32.2 / 31.6,Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 106 – LES CARAMELS FONDANTS EN VRAC (page 15)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 154 – LES CARAMELS EN VRAC (page 17)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 164 – LES CARAMELS EN VRAC (page 17)),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_PRODUCTEURS_DIFFERENTS,boite prestige,CARAMELS D'ISIGNY / CROCAEN'T,PROD-0499 / PROD-0500 / PROD-0501 / PROD-0555,"Boite prestige 200gr || Boite prestige 250gr || Boite prestige 320gr || BOÎTE ""PRESTIGE""",14.36 / 17.96 / 23.52 / 7.9,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 508) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 509) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 510) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 79 – BOÎTES OVALES (page 11)),Produits de producteurs différents portant le même libellé : NE PAS FUSIONNER
LIBELLE_IDENTIQUE_PRODUCTEURS_DIFFERENTS,calvados,GAEC DE CLAIDS / SARL DOMAINE DE BILLY,PROD-0357 / PROD-0358 / PROD-0359 / PROD-0692 / PROD-0693,Calvados 5 ans 35cl || Calvados 5 ans 70cl || Calvados 7 ans 70cl || CALVADOS - 20 ANS || CALVADOS - 12 ANS,18.1 / 27.0 / 28.5 / 43.16 / 35.16,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 366) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 367) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 368) || billy.pdf – tarif SARL Domaine de Billy « Prix de vente à partir de 2026 » – page 3 (page 3 – section CALVADOS) || billy.pdf – tarif SARL Domaine de Billy « Prix de vente à partir de 2026 » – page 3 (page 3 – section CALVADOS),Produits de producteurs différents portant le même libellé : NE PAS FUSIONNER
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,calvados aoc vsop vielle reserve,MAISON HEROUT,PROD-0334 / PROD-0335 / PROD-0336 / PROD-0337,Calvados AOC-VSOP vielle réserve 4 ans 20 cl || Calvados AOC-VSOP vielle réserve 4 ans 35 cl || Calvados AOC-VSOP vielle réserve 4 ans 70 cl || Calvados AOC-VSOP vielle réserve 4 ans 150 cl,11.33 / 17.82 / 30.7 / 69.85,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 343) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 344) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 345) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 346),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,calvados aoc xo hors d age,MAISON HEROUT,PROD-0330 / PROD-0331 / PROD-0332 / PROD-0333,Calvados AOC-XO hors d'âge 6 ans 20 cl || Calvados AOC-XO hors d'âge 6 ans 35 cl || Calvados AOC-XO hors d'âge 6 ans 70 cl || Calvados AOC-XO hors d'âge 6 ans 150 cl,13.53 / 21.23 / 36.52 / 82.83,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 339) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 340) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 341) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 342),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,calvados arrange banane vanille,POM’ POM’,PROD-0298 / PROD-0310,Calvados Arrangé Banane Vanille 70 cl || Calvados Arrangé Banane Vanille 20 cl,20.9 / 9.1,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 307) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 319),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,calvados arrange kumquat cafe,POM’ POM’,PROD-0297 / PROD-0309,Calvados Arrangé Kumquat Café 70 cl || Calvados Arrangé Kumquat Café 20 cl,20.9 / 9.1,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 306) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 318),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,calvados arrange pomme caramel,POM’ POM’,PROD-0299 / PROD-0311,Calvados Arrangé Pomme Caramel 70 cl || Calvados Arrangé Pomme Caramel 20 cl,20.9 / 9.1,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 308) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 320),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,calvados arrange pomme vanille,POM’ POM’,PROD-0296 / PROD-0308,Calvados Arrangé Pomme Vanille 70 cl || Calvados Arrangé Pomme Vanille 20 cl,20.9 / 9.1,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 305) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 317),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,calvados heritage d age,MAISON HEROUT,PROD-0326 / PROD-0327 / PROD-0328 / PROD-0329,Calvados Héritage 12 ans d'âge 20 cl || Calvados Héritage 12 ans d'âge 35 cl || Calvados Héritage 12 ans d'âge 70 cl || Calvados Héritage 12 ans d'âge 150 cl,16.06 / 25.25 / 43.34 / 96.69,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 335) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 336) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 337) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 338),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,calvados hors d age,SARL DOMAINE DE BILLY,PROD-0694 / PROD-0695,CALVADOS - HORS D'ÂGE || CALVADOS - HORS D'ÂGE,29.16 / 11.53,billy.pdf – tarif SARL Domaine de Billy « Prix de vente à partir de 2026 » – page 3 (page 3 – section CALVADOS) || billy.pdf – tarif SARL Domaine de Billy « Prix de vente à partir de 2026 » – page 3 (page 3 – section CALVADOS),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,calvados vs,MAISON HEROUT,PROD-0338 / PROD-0339,Calvados VS 2 ans 20 cl || Calvados VS 2 ans 70 cl,9.57 / 25.41,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 347) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 348),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,caramel a tartiner au beurre sale,CARAMELS D'ISIGNY,PROD-0622 / PROD-0623,CARAMEL À TARTINER AU BEURRE SALÉ || CARAMEL À TARTINER AU BEURRE SALÉ,3.9 / 5.45,Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 167 – LES CARAMELS À TARTINER (page 18)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 168 – LES CARAMELS À TARTINER (page 18)),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,caramel au beurre sale,CARAMELS D'ISIGNY,PROD-0642 / PROD-0643,CARAMEL AU BEURRE SALÉ || CARAMEL AU BEURRE SALÉ,13.89 / 39.6,Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 193 – LES PRODUITS ALIMENTAIRES INTERMÉDIAIRES (page 20)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 194 – LES PRODUITS ALIMENTAIRES INTERMÉDIAIRES (page 20)),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,caramel corse au beurre sale,CARAMELS D'ISIGNY,PROD-0640 / PROD-0641,CARAMEL CORSÉ AU BEURRE SALÉ || CARAMEL CORSÉ AU BEURRE SALÉ,14.33 / 40.83,Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 191 – LES PRODUITS ALIMENTAIRES INTERMÉDIAIRES (page 20)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 192 – LES PRODUITS ALIMENTAIRES INTERMÉDIAIRES (page 20)),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,cidre cotentin brut,GAEC DE CLAIDS,PROD-0352 / PROD-0353,Cidre Cotentin brut 75 cl || Cidre Cotentin brut 33 cl,3.8 / 2.25,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 361) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 362),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
