id_produit,nom_produit,score_noblesse,score_valeur_percue,score_local,score_noel,score_logistique,score_personnalisation,score_qualite,score_marge,score_upsell,score_marge_commentaire,score_qualite_commentaire,statut,base_de_calcul
PROD-0016,Croquet Calvados 180 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.55 € HT) → 2
PROD-0017,Financier sachet 180 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.25 € HT) → 2
PROD-0018,Financiers boite 250 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (4.90 € HT) → 2
PROD-0019,Pailles feuilletées au sucre 150 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.45 € HT) → 2
PROD-0020,Sablé chocolat enrobage chocolat lait 180 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (4.50 € HT) → 2
PROD-0021,Sablé éclats de caramel 180 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.56 € HT) → 2
PROD-0022,Sablé éclats caramel 110 grs mini 50 paquets,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (2.50 € HT) → 2
PROD-0023,Sablé spéculos 250 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.95 € HT) → 2
PROD-0024,Sablés Mamie 220 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.65 € HT) → 2
PROD-0025,Tuiles pâtissières 150 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.85 € HT) → 2
PROD-0026,Sablette mendiante chocolat 130 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.00 € HT) → 2
PROD-0027,Tuiles chocolat noir 150gr,3,3,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (6.60 € HT) → 3
PROD-0028,Tuiles chocolat lacté 150gr,3,3,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (6.60 € HT) → 3
PROD-0029,Tuiles chocolat noir et lacté 200gr,3,3,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (8.30 € HT) → 3
PROD-0030,Pâte de pommes 300 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (4.80 € HT) → 2
PROD-0031,Batonnet feuilleté noir 200 grs,3,3,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (6.95 € HT) → 3
PROD-0032,Grignotines amandes noisettes 200 grs,3,3,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (7.40 € HT) → 3
PROD-0033,Teurgoule nature 280 g,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.82 € HT) → 2
PROD-0034,Teurgoule nature 500 g,3,3,,,3,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (6.34 € HT) → 3
PROD-0035,Teurgoule nature 740 g,3,3,,,3,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (8.50 € HT) → 3
PROD-0036,Teurgoule cannelle 280 g,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.82 € HT) → 2
PROD-0037,Teurgoule cannelle 500 g,3,3,,,3,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (6.34 € HT) → 3
PROD-0038,Teurgoule cannelle 740 g,3,3,,,3,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (8.50 € HT) → 3
PROD-0039,Confiture de lait nature 250 g,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.05 € HT) → 2
PROD-0040,Confiture de lait éclats de pralin 250 g,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.42 € HT) → 2
PROD-0041,Confiture de lait chocolat 250 g / 20 P,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.42 € HT) → 2
PROD-0042,Confiture de lait fleur sel Guérande 250 g / 20 P,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.42 € HT) → 2
PROD-0043,Confiture figue 280 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.10 € HT) → 2
PROD-0044,Confiture orange 280 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.10 € HT) → 2
PROD-0045,Confiture framboise 280 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.10 € HT) → 2
PROD-0046,Confiture mure 280 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.10 € HT) → 2
PROD-0047,Confiture fraise 280 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.10 € HT) → 2
PROD-0048,Confiture abricot 280 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.10 € HT) → 2
PROD-0049,Confiture de rhubarbe 280 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.10 € HT) → 2
PROD-0050,Confiture de Myrtilles 280 grs NOUVEAU,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.10 € HT) → 2
PROD-0051,Confiture de Fraise Ananas 280 grs NOUVEAU,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.10 € HT) → 2
PROD-0052,Confiture pomme au cidre 280 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.10 € HT) → 2
PROD-0053,Confiture pomme caramel 280 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.10 € HT) → 2
PROD-0054,Confiture pomme rhubarbe 280 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.10 € HT) → 2
PROD-0055,Confiture fraise rhubarbe 280 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.10 € HT) → 2
PROD-0056,Confiture fruits rouges 280 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.10 € HT) → 2
PROD-0057,Confit de cidre 100 gr,1,1,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (1.98 € HT) → 1
PROD-0058,Confit de poiré 100 gr,1,1,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (1.98 € HT) → 1
PROD-0059,Moutarde pommeau 100 gr,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (2.60 € HT) → 2
PROD-0060,Moutarde Calvados 100 gr,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (2.60 € HT) → 2
PROD-0061,Moutarde pomme 100 gr,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (2.60 € HT) → 2
PROD-0062,Moutarde framboise 100 gr,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (2.60 € HT) → 2
PROD-0063,Confit d'oignons 100 gr,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.02 € HT) → 2
PROD-0064,Chutney de figue 100 gr,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.02 € HT) → 2
PROD-0065,Chutney de pomme 100 gr,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.02 € HT) → 2
PROD-0066,Riz au lait de Normandie 180 gr,1,1,3,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (2.25 € HT) → 1
PROD-0067,Riz au lait de Normandie Eclats caramel d'Isigny 180 gr,1,1,3,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (2.25 € HT) → 1
PROD-0068,Riz au lait de Normandie 120 gr,1,1,3,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (1.77 € HT) → 1
PROD-0069,Riz au lait de Normandie Eclats caramel d'Isigny 120 gr,1,1,3,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (1.77 € HT) → 1
PROD-0070,Crème aux œufs à la crème d'Isigny 180 gr,1,1,3,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (2.25 € HT) → 1
PROD-0071,Crème aux œufs aux éclats de caramel d'Isigny 180 gr,1,1,3,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (2.25 € HT) → 1 ; produit vrac / usage professionnel → -1
PROD-0072,Crème aux œufs à la crème d'Isigny 120 gr,1,1,3,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (1.77 € HT) → 1
PROD-0073,Crème aux œufs aux éclats de caramel d'Isigny 120 gr,1,1,3,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (1.77 € HT) → 1 ; produit vrac / usage professionnel → -1
PROD-0074,Boudin campagnard aux pomme 90 grs,1,1,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (2.18 € HT) → 1
PROD-0075,Terrine de faisan au Calvados 90 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (2.60 € HT) → 2
PROD-0076,Terrine de lièvre au Calvados 90 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (2.60 € HT) → 2
PROD-0077,Terrine pomme porc andouille 90 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (2.60 € HT) → 2
PROD-0078,Terrine de lapin au pommeau 90 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (2.60 € HT) → 2
PROD-0079,Terrine de canard aux pommes 90 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (2.60 € HT) → 2
PROD-0080,Terrine de campagne 90 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (2.60 € HT) → 2
PROD-0081,Terrine de campagne au cidre 90 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (2.60 € HT) → 2
PROD-0082,Terrine porc Livarot 90 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (2.60 € HT) → 2
PROD-0083,Terrine porc camembert 90 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (2.60 € HT) → 2
PROD-0084,Rillettes de porc à l'anciènne 90 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (2.60 € HT) → 2
PROD-0085,Rillettes de porc fumé 90 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (2.60 € HT) → 2
PROD-0086,Terrine campagne pomme foie gras 90 grs,2,2,,5,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (2.60 € HT) → 2
